,Gender,Your partner had to be good looking,Your partner has a sense of humor,"Your partner have/make a decent amount of money ""Abo Hashema Style""",Your partner has to be intelligent,Your partner has a personality that I like,Your partner has similarities in interests to mine,Percentage good looking,Percentage sense of humor,Percentage money,Percentage intelligent,Percentage personality,Percentage interests
58,Women,5.0,3.0,4.0,5.0,6.0,4.0,0.26,0.05,0.45,0.32,0.45,0.37
59,Men,3.0,5.0,3.0,5.0,5.0,5.0,0.11,0.45,0.34,0.29,0.34,0.21
60,Men,6.0,5.0,3.0,2.0,5.0,5.0,0.24,0.45,0.34,0.13,0.34,0.21
61,Women,4.0,5.0,4.0,6.0,6.0,5.0,0.47,0.42,0.45,0.29,0.45,0.39
62,Women,5.0,6.0,6.0,6.0,6.0,6.0,0.26,0.39,0.08,0.29,0.45,0.18
63,Men,6.0,6.0,1.0,6.0,3.0,6.0,0.24,0.37,0.11,0.37,0.11,0.34
64,Men,4.0,6.0,4.0,5.0,6.0,4.0,0.24,0.37,0.26,0.29,0.37,0.26
65,Men,6.0,6.0,4.0,5.0,5.0,5.0,0.24,0.37,0.26,0.29,0.34,0.21
66,Women,6.0,6.0,5.0,5.0,4.0,5.0,0.11,0.39,0.11,0.32,0.24,0.39
67,Men,5.0,5.0,2.0,5.0,5.0,4.0,0.34,0.45,0.11,0.29,0.34,0.26
68,Men,5.0,5.0,3.0,5.0,5.0,5.0,0.34,0.45,0.34,0.29,0.34,0.21
69,Men,5.0,5.0,3.0,4.0,5.0,4.0,0.34,0.45,0.34,0.13,0.34,0.26
70,Men,6.0,6.0,6.0,6.0,6.0,6.0,0.24,0.37,0.13,0.37,0.37,0.34
71,Men,1.0,4.0,4.0,2.0,6.0,6.0,0.03,0.11,0.26,0.13,0.37,0.34
72,Women,4.0,4.0,4.0,4.0,3.0,3.0,0.47,0.11,0.45,0.34,0.03,0.05
73,Men,4.0,5.0,4.0,4.0,3.0,4.0,0.24,0.45,0.26,0.13,0.11,0.26
74,Men,5.0,1.0,6.0,2.0,4.0,5.0,0.34,0.03,0.13,0.13,0.11,0.21
75,Women,3.0,5.0,6.0,5.0,5.0,6.0,0.13,0.42,0.08,0.32,0.26,0.18
76,,,,,,,,,,,,,
