,Unweighted_Sample,Weighted_Sample,Q,Nationality,Gender,Rank,Rank (number),Percentage,iso_alpha,country,continent
56,634,543,They are intelligent,American,Women,Ranked third,3,0.25,USA,United States,Americas
57,634,543,They are intelligent,American,Women,Ranked fourth,4,0.28,USA,United States,Americas
58,634,543,They are intelligent,American,Women,Ranked fifth,5,0.08,USA,United States,Americas
59,634,543,They are intelligent,American,Women,Ranked sixth,6,0.04,USA,United States,Americas
60,634,543,They have a decent amount of money,American,Women,Ranked first,1,0.03,USA,United States,Americas
61,634,543,They have a decent amount of money,American,Women,Ranked second,2,0.04,USA,United States,Americas
62,634,543,They have a decent amount of money,American,Women,Ranked third,3,0.06,USA,United States,Americas
63,634,543,They have a decent amount of money,American,Women,Ranked fourth,4,0.1,USA,United States,Americas
64,634,543,They have a decent amount of money,American,Women,Ranked fifth,5,0.27,USA,United States,Americas
65,634,543,They have a decent amount of money,American,Women,Ranked sixth,6,0.49,USA,United States,Americas
66,634,543,They have similar interests to me,American,Women,Ranked first,1,0.2,USA,United States,Americas
67,634,543,They have similar interests to me,American,Women,Ranked second,2,0.17,USA,United States,Americas
68,634,543,They have similar interests to me,American,Women,Ranked third,3,0.18,USA,United States,Americas
69,634,543,They have similar interests to me,American,Women,Ranked fourth,4,0.22,USA,United States,Americas
70,634,543,They have similar interests to me,American,Women,Ranked fifth,5,0.15,USA,United States,Americas
71,634,543,They have similar interests to me,American,Women,Ranked sixth,6,0.08,USA,United States,Americas
72,483,501,They are good looking,Australian,Men,Ranked first,1,0.18,AUS,Australia,Oceania
73,483,501,They are good looking,Australian,Men,Ranked second,2,0.13,AUS,Australia,Oceania
74,483,501,They are good looking,Australian,Men,Ranked third,3,0.17,AUS,Australia,Oceania
75,483,501,They are good looking,Australian,Men,Ranked fourth,4,0.19,AUS,Australia,Oceania
76,483,501,They are good looking,Australian,Men,Ranked fifth,5,0.26,AUS,Australia,Oceania
77,483,501,They are good looking,Australian,Men,Ranked sixth,6,0.08,AUS,Australia,Oceania
78,483,501,They have a personality I like,Australian,Men,Ranked first,1,0.42,AUS,Australia,Oceania
79,483,501,They have a personality I like,Australian,Men,Ranked second,2,0.23,AUS,Australia,Oceania
80,483,501,They have a personality I like,Australian,Men,Ranked third,3,0.15,AUS,Australia,Oceania
81,483,501,They have a personality I like,Australian,Men,Ranked fourth,4,0.09,AUS,Australia,Oceania
82,483,501,They have a personality I like,Australian,Men,Ranked fifth,5,0.07,AUS,Australia,Oceania
83,483,501,They have a personality I like,Australian,Men,Ranked sixth,6,0.03,AUS,Australia,Oceania
84,483,501,They have a sense of humour,Australian,Men,Ranked first,1,0.1,AUS,Australia,Oceania
85,483,501,They have a sense of humour,Australian,Men,Ranked second,2,0.27,AUS,Australia,Oceania
86,483,501,They have a sense of humour,Australian,Men,Ranked third,3,0.27,AUS,Australia,Oceania
87,483,501,They have a sense of humour,Australian,Men,Ranked fourth,4,0.18,AUS,Australia,Oceania
88,483,501,They have a sense of humour,Australian,Men,Ranked fifth,5,0.14,AUS,Australia,Oceania
89,483,501,They have a sense of humour,Australian,Men,Ranked sixth,6,0.03,AUS,Australia,Oceania
90,483,501,They are intelligent,Australian,Men,Ranked first,1,0.14,AUS,Australia,Oceania
91,483,501,They are intelligent,Australian,Men,Ranked second,2,0.16,AUS,Australia,Oceania
92,483,501,They are intelligent,Australian,Men,Ranked third,3,0.2,AUS,Australia,Oceania
93,483,501,They are intelligent,Australian,Men,Ranked fourth,4,0.25,AUS,Australia,Oceania
94,483,501,They are intelligent,Australian,Men,Ranked fifth,5,0.18,AUS,Australia,Oceania
95,483,501,They are intelligent,Australian,Men,Ranked sixth,6,0.06,AUS,Australia,Oceania
96,483,501,They have a decent amount of money,Australian,Men,Ranked first,1,0.02,AUS,Australia,Oceania
97,483,501,They have a decent amount of money,Australian,Men,Ranked second,2,0.03,AUS,Australia,Oceania
98,483,501,They have a decent amount of money,Australian,Men,Ranked third,3,0.05,AUS,Australia,Oceania
99,483,501,They have a decent amount of money,Australian,Men,Ranked fourth,4,0.06,AUS,Australia,Oceania
100,483,501,They have a decent amount of money,Australian,Men,Ranked fifth,5,0.13,AUS,Australia,Oceania
101,483,501,They have a decent amount of money,Australian,Men,Ranked sixth,6,0.7,AUS,Australia,Oceania
102,483,501,They have similar interests to me,Australian,Men,Ranked first,1,0.13,AUS,Australia,Oceania
103,483,501,They have similar interests to me,Australian,Men,Ranked second,2,0.18,AUS,Australia,Oceania
104,483,501,They have similar interests to me,Australian,Men,Ranked third,3,0.15,AUS,Australia,Oceania
105,483,501,They have similar interests to me,Australian,Men,Ranked fourth,4,0.22,AUS,Australia,Oceania
106,483,501,They have similar interests to me,Australian,Men,Ranked fifth,5,0.22,AUS,Australia,Oceania
107,483,501,They have similar interests to me,Australian,Men,Ranked sixth,6,0.09,AUS,Australia,Oceania
108,525,507,They are good looking,Australian,Women,Ranked first,1,0.1,AUS,Australia,Oceania
109,525,507,They are good looking,Australian,Women,Ranked second,2,0.07,AUS,Australia,Oceania
110,525,507,They are good looking,Australian,Women,Ranked third,3,0.16,AUS,Australia,Oceania
111,525,507,They are good looking,Australian,Women,Ranked fourth,4,0.12,AUS,Australia,Oceania
112,525,507,They are good looking,Australian,Women,Ranked fifth,5,0.37,AUS,Australia,Oceania
113,525,507,They are good looking,Australian,Women,Ranked sixth,6,0.19,AUS,Australia,Oceania
114,525,507,They have a personality I like,Australian,Women,Ranked first,1,0.49,AUS,Australia,Oceania
115,525,507,They have a personality I like,Australian,Women,Ranked second,2,0.24,AUS,Australia,Oceania
116,525,507,They have a personality I like,Australian,Women,Ranked third,3,0.14,AUS,Australia,Oceania
117,525,507,They have a personality I like,Australian,Women,Ranked fourth,4,0.08,AUS,Australia,Oceania
118,525,507,They have a personality I like,Australian,Women,Ranked fifth,5,0.04,AUS,Australia,Oceania
119,525,507,They have a personality I like,Australian,Women,Ranked sixth,6,0.02,AUS,Australia,Oceania
120,525,507,They have a sense of humour,Australian,Women,Ranked first,1,0.15,AUS,Australia,Oceania
121,525,507,They have a sense of humour,Australian,Women,Ranked second,2,0.32,AUS,Australia,Oceania
122,525,507,They have a sense of humour,Australian,Women,Ranked third,3,0.24,AUS,Australia,Oceania
123,525,507,They have a sense of humour,Australian,Women,Ranked fourth,4,0.16,AUS,Australia,Oceania
124,525,507,They have a sense of humour,Australian,Women,Ranked fifth,5,0.08,AUS,Australia,Oceania
125,525,507,They have a sense of humour,Australian,Women,Ranked sixth,6,0.05,AUS,Australia,Oceania
126,525,507,They are intelligent,Australian,Women,Ranked first,1,0.1,AUS,Australia,Oceania
127,525,507,They are intelligent,Australian,Women,Ranked second,2,0.19,AUS,Australia,Oceania
128,525,507,They are intelligent,Australian,Women,Ranked third,3,0.2,AUS,Australia,Oceania
129,525,507,They are intelligent,Australian,Women,Ranked fourth,4,0.27,AUS,Australia,Oceania
130,525,507,They are intelligent,Australian,Women,Ranked fifth,5,0.19,AUS,Australia,Oceania
131,525,507,They are intelligent,Australian,Women,Ranked sixth,6,0.05,AUS,Australia,Oceania
132,525,507,They have a decent amount of money,Australian,Women,Ranked first,1,0.01,AUS,Australia,Oceania
133,525,507,They have a decent amount of money,Australian,Women,Ranked second,2,0.03,AUS,Australia,Oceania
134,525,507,They have a decent amount of money,Australian,Women,Ranked third,3,0.07,AUS,Australia,Oceania
135,525,507,They have a decent amount of money,Australian,Women,Ranked fourth,4,0.11,AUS,Australia,Oceania
136,525,507,They have a decent amount of money,Australian,Women,Ranked fifth,5,0.2,AUS,Australia,Oceania
137,525,507,They have a decent amount of money,Australian,Women,Ranked sixth,6,0.59,AUS,Australia,Oceania
138,525,507,They have similar interests to me,Australian,Women,Ranked first,1,0.15,AUS,Australia,Oceania
139,525,507,They have similar interests to me,Australian,Women,Ranked second,2,0.15,AUS,Australia,Oceania
140,525,507,They have similar interests to me,Australian,Women,Ranked third,3,0.2,AUS,Australia,Oceania
141,525,507,They have similar interests to me,Australian,Women,Ranked fourth,4,0.25,AUS,Australia,Oceania
142,525,507,They have similar interests to me,Australian,Women,Ranked fifth,5,0.14,AUS,Australia,Oceania
143,525,507,They have similar interests to me,Australian,Women,Ranked sixth,6,0.11,AUS,Australia,Oceania
144,680,779,They are good looking,British,Men,Ranked first,1,0.14,GBR,United Kingdom,Europe
145,680,779,They are good looking,British,Men,Ranked second,2,0.15,GBR,United Kingdom,Europe
146,680,779,They are good looking,British,Men,Ranked third,3,0.18,GBR,United Kingdom,Europe
147,680,779,They are good looking,British,Men,Ranked fourth,4,0.2,GBR,United Kingdom,Europe
148,680,779,They are good looking,British,Men,Ranked fifth,5,0.27,GBR,United Kingdom,Europe
149,680,779,They are good looking,British,Men,Ranked sixth,6,0.06,GBR,United Kingdom,Europe
150,680,779,They have a personality I like,British,Men,Ranked first,1,0.52,GBR,United Kingdom,Europe
151,680,779,They have a personality I like,British,Men,Ranked second,2,0.23,GBR,United Kingdom,Europe
152,680,779,They have a personality I like,British,Men,Ranked third,3,0.14,GBR,United Kingdom,Europe
153,680,779,They have a personality I like,British,Men,Ranked fourth,4,0.05,GBR,United Kingdom,Europe
154,680,779,They have a personality I like,British,Men,Ranked fifth,5,0.04,GBR,United Kingdom,Europe
155,680,779,They have a personality I like,British,Men,Ranked sixth,6,0.02,GBR,United Kingdom,Europe
156,680,779,They have a sense of humour,British,Men,Ranked first,1,0.13,GBR,United Kingdom,Europe
157,680,779,They have a sense of humour,British,Men,Ranked second,2,0.32,GBR,United Kingdom,Europe
158,680,779,They have a sense of humour,British,Men,Ranked third,3,0.25,GBR,United Kingdom,Europe
159,680,779,They have a sense of humour,British,Men,Ranked fourth,4,0.21,GBR,United Kingdom,Europe
160,680,779,They have a sense of humour,British,Men,Ranked fifth,5,0.08,GBR,United Kingdom,Europe
161,680,779,They have a sense of humour,British,Men,Ranked sixth,6,0.02,GBR,United Kingdom,Europe
162,680,779,They are intelligent,British,Men,Ranked first,1,0.1,GBR,United Kingdom,Europe
163,680,779,They are intelligent,British,Men,Ranked second,2,0.13,GBR,United Kingdom,Europe
164,680,779,They are intelligent,British,Men,Ranked third,3,0.22,GBR,United Kingdom,Europe
165,680,779,They are intelligent,British,Men,Ranked fourth,4,0.26,GBR,United Kingdom,Europe
166,680,779,They are intelligent,British,Men,Ranked fifth,5,0.27,GBR,United Kingdom,Europe
167,680,779,They are intelligent,British,Men,Ranked sixth,6,0.02,GBR,United Kingdom,Europe
168,680,779,They have a decent amount of money,British,Men,Ranked first,1,0.01,GBR,United Kingdom,Europe
169,680,779,They have a decent amount of money,British,Men,Ranked second,2,0.02,GBR,United Kingdom,Europe
170,680,779,They have a decent amount of money,British,Men,Ranked third,3,0.02,GBR,United Kingdom,Europe
171,680,779,They have a decent amount of money,British,Men,Ranked fourth,4,0.02,GBR,United Kingdom,Europe
172,680,779,They have a decent amount of money,British,Men,Ranked fifth,5,0.09,GBR,United Kingdom,Europe
173,680,779,They have a decent amount of money,British,Men,Ranked sixth,6,0.85,GBR,United Kingdom,Europe
174,680,779,They have similar interests to me,British,Men,Ranked first,1,0.1,GBR,United Kingdom,Europe
175,680,779,They have similar interests to me,British,Men,Ranked second,2,0.16,GBR,United Kingdom,Europe
176,680,779,They have similar interests to me,British,Men,Ranked third,3,0.2,GBR,United Kingdom,Europe
177,680,779,They have similar interests to me,British,Men,Ranked fourth,4,0.25,GBR,United Kingdom,Europe
178,680,779,They have similar interests to me,British,Men,Ranked fifth,5,0.26,GBR,United Kingdom,Europe
179,680,779,They have similar interests to me,British,Men,Ranked sixth,6,0.03,GBR,United Kingdom,Europe
180,929,830,They are good looking,British,Women,Ranked first,1,0.05,GBR,United Kingdom,Europe
181,929,830,They are good looking,British,Women,Ranked second,2,0.06,GBR,United Kingdom,Europe
182,929,830,They are good looking,British,Women,Ranked third,3,0.09,GBR,United Kingdom,Europe
183,929,830,They are good looking,British,Women,Ranked fourth,4,0.17,GBR,United Kingdom,Europe
184,929,830,They are good looking,British,Women,Ranked fifth,5,0.41,GBR,United Kingdom,Europe
185,929,830,They are good looking,British,Women,Ranked sixth,6,0.21,GBR,United Kingdom,Europe
186,929,830,They have a personality I like,British,Women,Ranked first,1,0.52,GBR,United Kingdom,Europe
187,929,830,They have a personality I like,British,Women,Ranked second,2,0.25,GBR,United Kingdom,Europe
188,929,830,They have a personality I like,British,Women,Ranked third,3,0.16,GBR,United Kingdom,Europe
189,929,830,They have a personality I like,British,Women,Ranked fourth,4,0.05,GBR,United Kingdom,Europe
190,929,830,They have a personality I like,British,Women,Ranked fifth,5,0.02,GBR,United Kingdom,Europe
191,929,830,They have a personality I like,British,Women,Ranked sixth,6,0.01,GBR,United Kingdom,Europe
192,929,830,They have a sense of humour,British,Women,Ranked first,1,0.21,GBR,United Kingdom,Europe
193,929,830,They have a sense of humour,British,Women,Ranked second,2,0.33,GBR,United Kingdom,Europe
194,929,830,They have a sense of humour,British,Women,Ranked third,3,0.24,GBR,United Kingdom,Europe
195,929,830,They have a sense of humour,British,Women,Ranked fourth,4,0.14,GBR,United Kingdom,Europe
196,929,830,They have a sense of humour,British,Women,Ranked fifth,5,0.07,GBR,United Kingdom,Europe
197,929,830,They have a sense of humour,British,Women,Ranked sixth,6,0.01,GBR,United Kingdom,Europe
198,929,830,They are intelligent,British,Women,Ranked first,1,0.08,GBR,United Kingdom,Europe
199,929,830,They are intelligent,British,Women,Ranked second,2,0.14,GBR,United Kingdom,Europe
200,929,830,They are intelligent,British,Women,Ranked third,3,0.2,GBR,United Kingdom,Europe
201,929,830,They are intelligent,British,Women,Ranked fourth,4,0.39,GBR,United Kingdom,Europe
202,929,830,They are intelligent,British,Women,Ranked fifth,5,0.16,GBR,United Kingdom,Europe
203,929,830,They are intelligent,British,Women,Ranked sixth,6,0.04,GBR,United Kingdom,Europe
204,929,830,They have a decent amount of money,British,Women,Ranked first,1,0.01,GBR,United Kingdom,Europe
205,929,830,They have a decent amount of money,British,Women,Ranked second,2,0.02,GBR,United Kingdom,Europe
206,929,830,They have a decent amount of money,British,Women,Ranked third,3,0.03,GBR,United Kingdom,Europe
207,929,830,They have a decent amount of money,British,Women,Ranked fourth,4,0.05,GBR,United Kingdom,Europe
208,929,830,They have a decent amount of money,British,Women,Ranked fifth,5,0.22,GBR,United Kingdom,Europe
209,929,830,They have a decent amount of money,British,Women,Ranked sixth,6,0.67,GBR,United Kingdom,Europe
210,929,830,They have similar interests to me,British,Women,Ranked first,1,0.13,GBR,United Kingdom,Europe
211,929,830,They have similar interests to me,British,Women,Ranked second,2,0.21,GBR,United Kingdom,Europe
212,929,830,They have similar interests to me,British,Women,Ranked third,3,0.28,GBR,United Kingdom,Europe
213,929,830,They have similar interests to me,British,Women,Ranked fourth,4,0.2,GBR,United Kingdom,Europe
214,929,830,They have similar interests to me,British,Women,Ranked fifth,5,0.13,GBR,United Kingdom,Europe
215,929,830,They have similar interests to me,British,Women,Ranked sixth,6,0.06,GBR,United Kingdom,Europe
216,506,504,They are good looking,Danish,Men,Ranked first,1,0.11,DNK,Denmark,Europe
217,506,504,They are good looking,Danish,Men,Ranked second,2,0.16,DNK,Denmark,Europe
218,506,504,They are good looking,Danish,Men,Ranked third,3,0.18,DNK,Denmark,Europe
219,506,504,They are good looking,Danish,Men,Ranked fourth,4,0.22,DNK,Denmark,Europe
220,506,504,They are good looking,Danish,Men,Ranked fifth,5,0.28,DNK,Denmark,Europe
221,506,504,They are good looking,Danish,Men,Ranked sixth,6,0.05,DNK,Denmark,Europe
222,506,504,They have a personality I like,Danish,Men,Ranked first,1,0.68,DNK,Denmark,Europe
223,506,504,They have a personality I like,Danish,Men,Ranked second,2,0.18,DNK,Denmark,Europe
224,506,504,They have a personality I like,Danish,Men,Ranked third,3,0.08,DNK,Denmark,Europe
225,506,504,They have a personality I like,Danish,Men,Ranked fourth,4,0.03,DNK,Denmark,Europe
226,506,504,They have a personality I like,Danish,Men,Ranked fifth,5,0.02,DNK,Denmark,Europe
227,506,504,They have a personality I like,Danish,Men,Ranked sixth,6,0.01,DNK,Denmark,Europe
228,506,504,They have a sense of humour,Danish,Men,Ranked first,1,0.08,DNK,Denmark,Europe
229,506,504,They have a sense of humour,Danish,Men,Ranked second,2,0.37,DNK,Denmark,Europe
230,506,504,They have a sense of humour,Danish,Men,Ranked third,3,0.25,DNK,Denmark,Europe
231,506,504,They have a sense of humour,Danish,Men,Ranked fourth,4,0.19,DNK,Denmark,Europe
232,506,504,They have a sense of humour,Danish,Men,Ranked fifth,5,0.09,DNK,Denmark,Europe
233,506,504,They have a sense of humour,Danish,Men,Ranked sixth,6,0.02,DNK,Denmark,Europe
234,506,504,They are intelligent,Danish,Men,Ranked first,1,0.09,DNK,Denmark,Europe
235,506,504,They are intelligent,Danish,Men,Ranked second,2,0.15,DNK,Denmark,Europe
236,506,504,They are intelligent,Danish,Men,Ranked third,3,0.31,DNK,Denmark,Europe
237,506,504,They are intelligent,Danish,Men,Ranked fourth,4,0.28,DNK,Denmark,Europe
238,506,504,They are intelligent,Danish,Men,Ranked fifth,5,0.14,DNK,Denmark,Europe
239,506,504,They are intelligent,Danish,Men,Ranked sixth,6,0.02,DNK,Denmark,Europe
240,506,504,They have a decent amount of money,Danish,Men,Ranked first,1,0,DNK,Denmark,Europe
241,506,504,They have a decent amount of money,Danish,Men,Ranked second,2,0.01,DNK,Denmark,Europe
242,506,504,They have a decent amount of money,Danish,Men,Ranked third,3,0.03,DNK,Denmark,Europe
243,506,504,They have a decent amount of money,Danish,Men,Ranked fourth,4,0.03,DNK,Denmark,Europe
244,506,504,They have a decent amount of money,Danish,Men,Ranked fifth,5,0.11,DNK,Denmark,Europe
245,506,504,They have a decent amount of money,Danish,Men,Ranked sixth,6,0.81,DNK,Denmark,Europe
246,506,504,They have similar interests to me,Danish,Men,Ranked first,1,0.04,DNK,Denmark,Europe
247,506,504,They have similar interests to me,Danish,Men,Ranked second,2,0.12,DNK,Denmark,Europe
248,506,504,They have similar interests to me,Danish,Men,Ranked third,3,0.15,DNK,Denmark,Europe
249,506,504,They have similar interests to me,Danish,Men,Ranked fourth,4,0.25,DNK,Denmark,Europe
250,506,504,They have similar interests to me,Danish,Men,Ranked fifth,5,0.35,DNK,Denmark,Europe
251,506,504,They have similar interests to me,Danish,Men,Ranked sixth,6,0.08,DNK,Denmark,Europe
252,502,503,They are good looking,Danish,Women,Ranked first,1,0.05,DNK,Denmark,Europe
253,502,503,They are good looking,Danish,Women,Ranked second,2,0.06,DNK,Denmark,Europe
254,502,503,They are good looking,Danish,Women,Ranked third,3,0.11,DNK,Denmark,Europe
255,502,503,They are good looking,Danish,Women,Ranked fourth,4,0.19,DNK,Denmark,Europe
256,502,503,They are good looking,Danish,Women,Ranked fifth,5,0.44,DNK,Denmark,Europe
257,502,503,They are good looking,Danish,Women,Ranked sixth,6,0.16,DNK,Denmark,Europe
258,502,503,They have a personality I like,Danish,Women,Ranked first,1,0.69,DNK,Denmark,Europe
259,502,503,They have a personality I like,Danish,Women,Ranked second,2,0.17,DNK,Denmark,Europe
260,502,503,They have a personality I like,Danish,Women,Ranked third,3,0.1,DNK,Denmark,Europe
261,502,503,They have a personality I like,Danish,Women,Ranked fourth,4,0.02,DNK,Denmark,Europe
262,502,503,They have a personality I like,Danish,Women,Ranked fifth,5,0.01,DNK,Denmark,Europe
263,502,503,They have a personality I like,Danish,Women,Ranked sixth,6,0.01,DNK,Denmark,Europe
264,502,503,They have a sense of humour,Danish,Women,Ranked first,1,0.14,DNK,Denmark,Europe
265,502,503,They have a sense of humour,Danish,Women,Ranked second,2,0.45,DNK,Denmark,Europe
266,502,503,They have a sense of humour,Danish,Women,Ranked third,3,0.25,DNK,Denmark,Europe
267,502,503,They have a sense of humour,Danish,Women,Ranked fourth,4,0.11,DNK,Denmark,Europe
268,502,503,They have a sense of humour,Danish,Women,Ranked fifth,5,0.03,DNK,Denmark,Europe
269,502,503,They have a sense of humour,Danish,Women,Ranked sixth,6,0.01,DNK,Denmark,Europe
270,502,503,They are intelligent,Danish,Women,Ranked first,1,0.07,DNK,Denmark,Europe
271,502,503,They are intelligent,Danish,Women,Ranked second,2,0.19,DNK,Denmark,Europe
272,502,503,They are intelligent,Danish,Women,Ranked third,3,0.31,DNK,Denmark,Europe
273,502,503,They are intelligent,Danish,Women,Ranked fourth,4,0.29,DNK,Denmark,Europe
274,502,503,They are intelligent,Danish,Women,Ranked fifth,5,0.12,DNK,Denmark,Europe
275,502,503,They are intelligent,Danish,Women,Ranked sixth,6,0.02,DNK,Denmark,Europe
276,502,503,They have a decent amount of money,Danish,Women,Ranked first,1,0,DNK,Denmark,Europe
277,502,503,They have a decent amount of money,Danish,Women,Ranked second,2,0.02,DNK,Denmark,Europe
278,502,503,They have a decent amount of money,Danish,Women,Ranked third,3,0.02,DNK,Denmark,Europe
279,502,503,They have a decent amount of money,Danish,Women,Ranked fourth,4,0.04,DNK,Denmark,Europe
280,502,503,They have a decent amount of money,Danish,Women,Ranked fifth,5,0.2,DNK,Denmark,Europe
281,502,503,They have a decent amount of money,Danish,Women,Ranked sixth,6,0.72,DNK,Denmark,Europe
282,502,503,They have similar interests to me,Danish,Women,Ranked first,1,0.05,DNK,Denmark,Europe
283,502,503,They have similar interests to me,Danish,Women,Ranked second,2,0.12,DNK,Denmark,Europe
284,502,503,They have similar interests to me,Danish,Women,Ranked third,3,0.21,DNK,Denmark,Europe
285,502,503,They have similar interests to me,Danish,Women,Ranked fourth,4,0.34,DNK,Denmark,Europe
286,502,503,They have similar interests to me,Danish,Women,Ranked fifth,5,0.2,DNK,Denmark,Europe
287,502,503,They have similar interests to me,Danish,Women,Ranked sixth,6,0.08,DNK,Denmark,Europe
288,524,511,They are good looking,Egyptian,Men,Ranked first,1,0.31,EGY,Egypt,Africa
289,524,511,They are good looking,Egyptian,Men,Ranked second,2,0.19,EGY,Egypt,Africa
290,524,511,They are good looking,Egyptian,Men,Ranked third,3,0.18,EGY,Egypt,Africa
291,524,511,They are good looking,Egyptian,Men,Ranked fourth,4,0.13,EGY,Egypt,Africa
292,524,511,They are good looking,Egyptian,Men,Ranked fifth,5,0.15,EGY,Egypt,Africa
293,524,511,They are good looking,Egyptian,Men,Ranked sixth,6,0.03,EGY,Egypt,Africa
294,524,511,They have a personality I like,Egyptian,Men,Ranked first,1,0.36,EGY,Egypt,Africa
295,524,511,They have a personality I like,Egyptian,Men,Ranked second,2,0.23,EGY,Egypt,Africa
296,524,511,They have a personality I like,Egyptian,Men,Ranked third,3,0.17,EGY,Egypt,Africa
297,524,511,They have a personality I like,Egyptian,Men,Ranked fourth,4,0.12,EGY,Egypt,Africa
298,524,511,They have a personality I like,Egyptian,Men,Ranked fifth,5,0.07,EGY,Egypt,Africa
299,524,511,They have a personality I like,Egyptian,Men,Ranked sixth,6,0.05,EGY,Egypt,Africa
300,524,511,They have a sense of humour,Egyptian,Men,Ranked first,1,0.06,EGY,Egypt,Africa
